City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,zigong,29.3416,104.7769,6.01,82,100,0.86,CN,01-12-2022 23:17:29
70,port alfred,-33.5906,26.891,18.99,89,54,1.79,ZA,01-12-2022 23:17:29
71,murgab,37.4966,61.9714,0.93,60,100,3.09,TM,01-12-2022 23:17:29
72,acajutla,13.5928,-89.8275,28.02,70,97,1.44,SV,01-12-2022 23:17:29
73,sao filipe,14.8961,-24.4956,23.36,65,100,5.84,CV,01-12-2022 23:17:29
74,miramar,25.9873,-80.2323,26.01,76,20,6.17,US,01-12-2022 23:17:30
75,katsuura,35.1333,140.3,11.08,69,100,5.19,JP,01-12-2022 23:17:30
76,manacapuru,-3.2997,-60.6206,27.17,76,80,1.59,BR,01-12-2022 23:17:30
77,albany,42.6001,-73.9662,2.54,58,91,4.53,US,01-12-2022 23:17:31
78,east london,-33.0153,27.9116,21.78,93,83,2.64,ZA,01-12-2022 23:16:08
79,shimoda,34.6667,138.95,12.2,73,89,4.81,JP,01-12-2022 23:17:31
80,georgetown,5.4112,100.3354,26.24,82,20,1.54,MY,01-12-2022 23:17:31
81,steamboat springs,40.485,-106.8317,5.77,58,0,0.89,US,01-12-2022 23:17:31
82,fonte boa,-2.4959,-66.2662,24.73,93,82,1.17,BR,01-12-2022 23:17:32
83,vostok,46.4856,135.8833,-24.94,97,82,2.5,RU,01-12-2022 23:17:32
84,salinopolis,-0.6136,-47.3561,27.11,79,55,6.1,BR,01-12-2022 23:17:32
85,bakel,14.905,-12.4568,28.31,16,84,3.28,SN,01-12-2022 23:17:32
86,lima,-12.0432,-77.0282,20.14,73,0,5.66,PE,01-12-2022 23:14:14
87,tazovskiy,67.4667,78.7,-19.63,98,99,4.52,RU,01-12-2022 23:17:32
88,jamestown,42.097,-79.2353,-0.23,89,100,3.09,US,01-12-2022 23:17:33
89,huarmey,-10.0681,-78.1522,21.0,80,11,4.02,PE,01-12-2022 23:17:33
90,sola,-13.8833,167.55,29.37,79,32,1.54,VU,01-12-2022 23:17:33
91,punta arenas,-53.15,-70.9167,10.35,69,100,8.71,CL,01-12-2022 23:17:33
92,balkhash,46.844,74.9804,-8.27,95,99,1.15,KZ,01-12-2022 23:17:33
93,svetlogorsk,52.6333,29.7333,-9.27,93,89,2.73,BY,01-12-2022 23:17:33
94,stanislav,46.5691,32.1478,3.43,74,99,7.43,UA,01-12-2022 23:17:33
95,isangel,-19.55,169.2667,30.06,74,82,4.63,VU,01-12-2022 23:17:34
96,cayenne,4.9333,-52.3333,27.02,78,75,1.54,GF,01-12-2022 23:17:34
97,ukiah,39.1502,-123.2078,9.65,71,40,4.12,US,01-12-2022 23:17:34
98,douentza,14.9951,-2.9517,26.01,15,98,1.29,ML,01-12-2022 23:17:34
99,hamilton,39.1834,-84.5333,2.77,60,0,2.57,US,01-12-2022 23:17:34
100,saskylakh,71.9167,114.0833,-31.87,100,98,1.59,RU,01-12-2022 23:17:34
101,hampton,37.0299,-76.3452,8.03,53,0,3.6,US,01-12-2022 23:17:34
102,moindou,-21.6924,165.677,31.24,60,91,4.3,NC,01-12-2022 23:17:35
103,harper,4.375,-7.7169,25.53,85,100,2.34,LR,01-12-2022 23:17:35
104,sakaiminato,35.55,133.2333,6.99,70,75,4.63,JP,01-12-2022 23:17:35
105,huilong,31.8111,121.655,3.94,70,100,4.04,CN,01-12-2022 23:17:35
106,yulara,-25.2406,130.9889,27.7,16,0,4.01,AU,01-12-2022 23:17:35
107,honiara,-9.4333,159.95,27.97,80,95,1.74,SB,01-12-2022 23:17:35
108,raudeberg,61.9875,5.1352,4.37,66,4,4.26,NO,01-12-2022 23:17:36
109,talnakh,69.4865,88.3972,-16.91,99,100,1.69,RU,01-12-2022 23:17:36
110,hobart,-42.8794,147.3294,18.36,59,20,3.09,AU,01-12-2022 23:17:36
111,bac lieu,9.285,105.7244,25.9,82,100,7.28,VN,01-12-2022 23:17:37
112,palmas,-10.2128,-48.3603,25.93,89,20,1.54,BR,01-12-2022 23:12:46
113,ribeira grande,38.5167,-28.7,13.76,59,74,2.24,PT,01-12-2022 23:17:37
114,santa rosa,14.3122,121.1114,26.99,80,100,6.16,PH,01-12-2022 23:17:37
115,brae,60.3964,-1.353,8.9,91,100,11.62,GB,01-12-2022 23:17:37
116,poco das trincheiras,-9.3125,-37.2856,24.83,78,100,2.46,BR,01-12-2022 23:17:37
117,banda aceh,5.5577,95.3222,25.11,77,100,2.58,ID,01-12-2022 23:17:37
118,barstow,34.8986,-117.0228,14.55,52,67,9.21,US,01-12-2022 23:17:37
119,castro,-24.7911,-50.0119,18.02,87,6,0.84,BR,01-12-2022 23:17:37
120,torbay,47.6666,-52.7314,7.44,92,100,14.4,CA,01-12-2022 23:17:38
121,plettenberg bay,-34.0527,23.3716,17.05,90,52,3.45,ZA,01-12-2022 23:17:38
122,diamantino,-14.4086,-56.4461,21.48,88,82,1.83,BR,01-12-2022 23:17:39
123,evanston,42.0411,-87.6901,1.32,52,75,6.17,US,01-12-2022 23:17:39
124,coquimbo,-29.9533,-71.3436,17.85,72,20,5.14,CL,01-12-2022 23:17:39
125,severo-kurilsk,50.6789,156.125,-2.47,73,83,4.56,RU,01-12-2022 23:17:40
126,batagay,67.6333,134.6333,-29.91,98,100,1.35,RU,01-12-2022 23:17:40
127,kavaratti,10.5669,72.642,26.99,76,5,0.81,IN,01-12-2022 23:17:40
128,lebu,-37.6167,-73.65,13.03,75,0,8.37,CL,01-12-2022 23:17:40
129,pacific grove,36.6177,-121.9166,10.79,90,100,4.92,US,01-12-2022 23:17:41
130,tuktoyaktuk,69.4541,-133.0374,-18.0,78,100,5.66,CA,01-12-2022 23:17:42
131,beira,-19.8436,34.8389,23.05,94,20,1.54,MZ,01-12-2022 23:17:42
132,camacha,33.0833,-16.3333,16.68,77,40,6.69,PT,01-12-2022 23:17:42
133,beringovskiy,63.05,179.3167,1.68,99,100,5.82,RU,01-12-2022 23:17:42
134,ayorou,14.7308,0.9174,24.75,16,97,3.62,NE,01-12-2022 23:17:42
135,kaitangata,-46.2817,169.8464,10.45,73,42,5.56,NZ,01-12-2022 23:17:42
136,hutchinson,38.0608,-97.9298,8.35,48,0,9.77,US,01-12-2022 23:17:43
137,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-13.03,86,100,5.09,RU,01-12-2022 23:17:43
138,lasa,46.6166,10.7002,3.49,79,95,0.38,IT,01-12-2022 23:17:44
139,paciran,-6.8767,112.3761,24.77,84,99,4.54,ID,01-12-2022 23:17:44
140,maragogi,-9.0122,-35.2225,25.64,81,51,5.11,BR,01-12-2022 23:17:44
141,bulgan,48.8125,103.5347,-20.35,95,100,1.45,MN,01-12-2022 23:17:44
142,calama,-22.4667,-68.9333,16.27,11,0,10.8,CL,01-12-2022 23:15:49
143,schubelbach,47.1733,8.9281,4.03,63,95,0.54,CH,01-12-2022 23:17:45
144,souillac,-20.5167,57.5167,23.21,78,75,2.06,MU,01-12-2022 23:17:45
145,broken hill,-31.95,141.4333,22.62,38,0,5.69,AU,01-12-2022 23:17:45
146,bocas del toro,9.3333,-82.25,26.5,74,65,2.38,PA,01-12-2022 23:17:45
147,karakol,42.4907,78.3936,-3.8,66,100,2.14,KG,01-12-2022 23:17:46
148,qaanaaq,77.484,-69.3632,-31.95,75,3,3.34,GL,01-12-2022 23:17:46
149,longyearbyen,78.2186,15.6401,5.91,65,75,4.12,SJ,01-12-2022 23:17:47
150,santa cruz de tenerife,28.4682,-16.2546,19.79,94,75,8.75,ES,01-12-2022 23:17:47
151,gazanjyk,39.2446,55.5154,4.35,25,100,6.21,TM,01-12-2022 23:17:47
152,grand terrace,34.0339,-117.3137,15.12,63,0,5.14,US,01-12-2022 23:17:47
153,victoria,22.2855,114.1577,15.14,75,100,5.81,HK,01-12-2022 23:13:03
154,lagoa,39.05,-27.9833,13.76,48,66,12.01,PT,01-12-2022 23:17:47
155,bredasdorp,-34.5322,20.0403,16.97,88,51,3.18,ZA,01-12-2022 23:17:47
156,akonolinga,3.7667,12.25,22.99,71,100,1.17,CM,01-12-2022 23:17:47
157,yataity del norte,-24.8333,-56.35,21.7,92,87,2.57,PY,01-12-2022 23:17:48
158,yabelo,4.8833,38.0833,14.87,54,59,6.64,ET,01-12-2022 23:17:48
159,alta floresta,-9.8756,-56.0861,20.66,98,94,2.65,BR,01-12-2022 23:17:48
160,ust-nera,64.5667,143.2,-30.8,99,100,1.66,RU,01-12-2022 23:17:48
161,terenos,-20.4422,-54.8603,23.84,73,75,4.12,BR,01-12-2022 23:17:49
162,faanui,-16.4833,-151.75,27.02,78,83,8.72,PF,01-12-2022 23:17:49
163,loandjili,-4.7561,11.8578,25.52,89,100,2.26,CG,01-12-2022 23:17:49
164,the valley,18.217,-63.0578,26.92,78,20,2.06,AI,01-12-2022 23:17:49
165,tres coroas,-29.5169,-50.7778,26.91,91,95,1.37,BR,01-12-2022 23:17:49
166,panambi,-28.2925,-53.5017,27.26,42,43,2.23,BR,01-12-2022 23:17:49
167,mandera,3.9366,41.867,27.08,63,67,7.13,KE,01-12-2022 23:17:49
168,le pradet,43.1066,6.0172,10.35,81,0,2.57,FR,01-12-2022 23:17:50
169,kuzino,57.0224,59.4412,-18.33,95,53,2.14,RU,01-12-2022 23:17:50
170,nikolskoye,59.7035,30.7861,-9.0,87,99,1.52,RU,01-12-2022 23:17:50
171,sawtell,-30.3833,153.1,19.01,82,75,8.23,AU,01-12-2022 23:17:50
172,dikson,73.5069,80.5464,-3.03,96,100,6.85,RU,01-12-2022 23:17:50
173,nuuk,64.1835,-51.7216,-6.66,49,40,9.26,GL,01-12-2022 23:17:50
174,broome,42.2506,-75.833,0.81,66,100,4.63,US,01-12-2022 23:17:51
175,itoman,26.1247,127.6694,20.01,73,75,8.75,JP,01-12-2022 23:17:51
176,kiama,-34.6833,150.8667,20.77,82,94,0.89,AU,01-12-2022 23:17:51
177,shihezi,44.3,86.0333,-10.86,94,99,0.48,CN,01-12-2022 23:17:52
178,hofn,64.2539,-15.2082,7.45,92,100,7.96,IS,01-12-2022 23:17:52
179,chatrapur,19.35,84.9833,21.72,83,0,1.91,IN,01-12-2022 23:17:52
180,muros,42.7762,-9.0603,7.13,87,4,2.41,ES,01-12-2022 23:17:52
181,san cristobal,7.7669,-72.225,20.1,94,25,1.88,VE,01-12-2022 23:15:51
182,baylo,7.8539,126.0581,24.07,97,100,1.07,PH,01-12-2022 23:17:53
183,nome,64.5011,-165.4064,-4.96,86,100,6.17,US,01-12-2022 23:17:53
184,bethel,41.3712,-73.414,3.93,55,0,3.09,US,01-12-2022 23:17:53
185,codrington,-38.2667,141.9667,14.91,68,11,2.74,AU,01-12-2022 23:17:53
186,te anau,-45.4167,167.7167,11.79,47,41,1.73,NZ,01-12-2022 23:14:36
187,xuddur,4.1213,43.8894,22.64,81,46,5.37,SO,01-12-2022 23:17:54
188,buraydah,26.326,43.975,17.25,64,3,4.14,SA,01-12-2022 23:17:55
189,dzhebariki-khaya,62.2167,135.8,-34.33,99,100,0.25,RU,01-12-2022 23:17:55
190,nanga eboko,4.6833,12.3667,23.84,64,99,0.85,CM,01-12-2022 23:17:55
191,puerto narino,-3.7703,-70.3831,24.73,91,75,1.49,CO,01-12-2022 23:17:55
192,isla mujeres,21.2311,-86.731,27.03,79,10,6.43,MX,01-12-2022 23:17:56
193,watertown,42.3709,-71.1828,4.6,54,40,8.23,US,01-12-2022 23:17:56
194,arlit,18.7369,7.3853,22.45,18,100,2.31,NE,01-12-2022 23:17:56
195,biltine,14.5333,20.9167,25.25,23,56,3.28,TD,01-12-2022 23:17:56
196,coihaique,-45.5752,-72.0662,11.97,62,75,1.54,CL,01-12-2022 23:16:31
197,mumford,5.2618,-0.759,26.01,86,98,3.31,GH,01-12-2022 23:17:57
198,filingue,14.3521,3.3168,24.77,16,4,3.18,NE,01-12-2022 23:17:57
199,westport,41.1415,-73.3579,5.42,50,0,3.09,US,01-12-2022 23:17:57
200,noyabrsk,63.1994,75.4507,-23.61,88,48,3.8,RU,01-12-2022 23:17:57
201,kalangala,-0.3089,32.225,19.64,71,83,2.42,UG,01-12-2022 23:17:57
202,mount isa,-20.7333,139.5,29.87,26,0,4.12,AU,01-12-2022 23:17:57
203,omboue,-1.5746,9.2618,25.62,88,100,1.79,GA,01-12-2022 23:17:58
204,ahipara,-35.1667,173.1667,17.48,70,91,4.72,NZ,01-12-2022 23:17:58
205,tautira,-17.7333,-149.15,26.32,81,89,7.6,PF,01-12-2022 23:17:58
206,flin flon,54.7682,-101.865,-22.09,71,100,3.09,CA,01-12-2022 23:17:58
207,botou,38.0667,116.5667,-5.95,27,56,3.28,CN,01-12-2022 23:17:58
208,mwandiga,-4.83,29.6581,20.49,87,100,0.65,TZ,01-12-2022 23:17:58
209,nanortalik,60.1432,-45.2371,-5.91,73,4,7.17,GL,01-12-2022 23:17:59
210,kabanjahe,3.1001,98.4908,16.6,92,100,0.83,ID,01-12-2022 23:17:59
211,lompoc,34.6391,-120.4579,14.88,73,100,6.69,US,01-12-2022 23:17:59
212,palanga,55.9175,21.0686,-1.99,93,100,3.09,LT,01-12-2022 23:17:06
213,pangnirtung,66.1451,-65.7125,-10.0,31,100,8.75,CA,01-12-2022 23:17:59
214,goderich,43.7501,-81.7165,0.51,69,82,4.12,CA,01-12-2022 23:17:59
215,thompson,55.7435,-97.8558,-28.91,76,40,2.06,CA,01-12-2022 23:17:59
216,port lincoln,-34.7333,135.8667,19.41,69,0,4.87,AU,01-12-2022 23:18:00
217,bucerias,20.75,-105.3333,27.21,69,40,4.63,MX,01-12-2022 23:18:00
218,ramnagar,29.4,79.1167,14.42,76,91,1.4,IN,01-12-2022 23:18:01
219,matagami,49.7502,-77.6328,-7.94,79,20,5.14,CA,01-12-2022 23:18:01
220,montepuez,-13.1256,38.9997,20.79,88,100,1.28,MZ,01-12-2022 23:18:01
221,chuy,-33.6971,-53.4616,21.12,94,44,2.98,UY,01-12-2022 23:18:01
222,bosaso,11.2842,49.1816,24.01,80,4,1.29,SO,01-12-2022 23:18:01
223,lorengau,-2.0226,147.2712,28.83,70,100,1.68,PG,01-12-2022 23:18:01
224,tolaga bay,-38.3667,178.3,16.67,62,26,2.67,NZ,01-12-2022 23:18:01
225,plouzane,48.3833,-4.6167,5.03,93,34,1.54,FR,01-12-2022 23:18:02
226,that phanom,16.9364,104.7104,19.29,83,92,4.09,TH,01-12-2022 23:18:02
227,sumbuya,7.6467,-11.9611,24.06,93,83,1.24,SL,01-12-2022 23:18:02
228,acapulco,16.8634,-99.8901,28.9,70,75,3.09,MX,01-12-2022 23:17:04
229,nishihara,26.1842,127.7558,19.6,73,75,8.75,JP,01-12-2022 23:18:02
230,upernavik,72.7868,-56.1549,-18.82,99,86,8.59,GL,01-12-2022 23:18:02
231,raga,8.4596,25.678,25.25,32,100,1.37,SS,01-12-2022 23:18:02
232,ust-ilimsk,58.0006,102.6619,-25.02,96,100,2.54,RU,01-12-2022 23:14:52
233,lumphat,13.4878,106.9816,21.8,88,100,1.61,KH,01-12-2022 23:18:03
234,lodja,-3.4833,23.4333,19.87,99,100,0.88,CD,01-12-2022 23:18:03
235,methoni,36.8197,21.7049,14.01,79,31,4.44,GR,01-12-2022 23:13:31
236,abha,18.2164,42.5053,11.9,35,0,0.0,SA,01-12-2022 23:18:03
237,seguela,7.9611,-6.6731,24.56,77,97,2.76,CI,01-12-2022 23:18:04
238,male,4.1748,73.5089,26.97,89,75,3.6,MV,01-12-2022 23:15:50
239,revelstoke,50.9832,-118.2023,-8.99,62,0,5.66,CA,01-12-2022 23:18:04
240,avera,33.194,-82.5271,8.08,45,94,2.55,US,01-12-2022 23:18:05
241,khani,41.9563,42.9566,5.76,74,93,2.64,GE,01-12-2022 23:18:05
242,frontera,26.9333,-101.45,18.86,45,40,3.6,MX,01-12-2022 23:18:05
243,lujan,-34.5703,-59.105,21.84,69,49,5.86,AR,01-12-2022 23:13:20
244,suhbaatar,50.2314,106.2078,-21.49,93,100,0.86,MN,01-12-2022 23:18:05
245,catamarca,-28.4696,-65.7852,23.21,49,100,0.21,AR,01-12-2022 23:15:36
246,alexandria,31.2156,29.9553,18.82,73,0,2.86,EG,01-12-2022 23:18:06
247,kahului,20.8947,-156.47,27.2,76,40,6.17,US,01-12-2022 23:18:06
248,mogadishu,2.0371,45.3438,26.52,76,99,5.44,SO,01-12-2022 23:18:06
249,mato verde,-15.3972,-42.8664,22.53,87,71,1.18,BR,01-12-2022 23:18:06
250,nouadhibou,20.931,-17.0347,17.99,72,80,6.69,MR,01-12-2022 23:18:06
251,funadhoo,6.15,73.2667,26.28,78,86,1.61,MV,01-12-2022 23:18:06
252,wanning,18.8003,110.3967,19.48,91,100,6.73,CN,01-12-2022 23:18:07
253,cape canaveral,28.4058,-80.6048,23.34,68,0,8.75,US,01-12-2022 23:18:07
254,namatanai,-3.6667,152.4333,29.07,69,99,2.0,PG,01-12-2022 23:18:07
255,hithadhoo,-0.6,73.0833,27.09,68,38,3.12,MV,01-12-2022 23:18:07
256,salacgriva,57.7536,24.3581,-4.97,86,100,3.69,LV,01-12-2022 23:18:07
257,magdagachi,53.45,125.8,-35.71,99,30,1.33,RU,01-12-2022 23:18:07
258,jibuti,11.5,42.5,20.62,75,0,2.98,DJ,01-12-2022 23:18:07
259,leshukonskoye,64.8989,45.7622,-5.57,97,100,1.76,RU,01-12-2022 23:18:07
260,sao felix do xingu,-6.6447,-51.995,23.26,97,75,0.73,BR,01-12-2022 23:18:07
261,pochutla,15.7432,-96.4661,29.9,65,47,2.05,MX,01-12-2022 23:18:08
262,saint-pierre,-21.3393,55.4781,25.87,64,0,2.57,RE,01-12-2022 23:18:08
263,gushikawa,26.3544,127.8686,19.57,77,100,6.17,JP,01-12-2022 23:18:08
264,sao joao da barra,-21.6403,-41.0511,24.05,91,100,8.27,BR,01-12-2022 23:18:08
265,van,38.4924,43.3831,2.64,81,40,1.03,TR,01-12-2022 23:18:08
266,vila velha,-20.3297,-40.2925,22.97,98,100,5.66,BR,01-12-2022 23:18:09
267,kununurra,-15.7667,128.7333,27.99,57,56,1.54,AU,01-12-2022 23:18:09
268,los llanos de aridane,28.6585,-17.9182,17.86,87,0,1.54,ES,01-12-2022 23:18:09
269,manokwari,-0.8667,134.0833,26.19,78,100,0.98,ID,01-12-2022 23:18:09
270,saldanha,-33.0117,17.9442,18.03,85,32,5.5,ZA,01-12-2022 23:18:09
271,kanniyakumari,8.0833,77.5667,25.68,82,80,5.09,IN,01-12-2022 23:18:09
272,ilulissat,69.2167,-51.1,-21.86,83,16,3.89,GL,01-12-2022 23:18:10
273,batemans bay,-35.7167,150.1833,17.83,85,100,2.46,AU,01-12-2022 23:18:10
274,vikhorevka,56.1201,101.1636,-27.23,91,100,3.63,RU,01-12-2022 23:18:10
275,kasongo-lunda,-6.4667,16.8167,20.44,98,100,0.15,CD,01-12-2022 23:18:10
276,rafsanjan,30.4067,55.9939,9.91,46,56,2.37,IR,01-12-2022 23:18:10
277,fairbanks,64.8378,-147.7164,-14.81,86,75,2.06,US,01-12-2022 23:15:05
278,rockland,41.1668,-74.0496,4.35,55,10,0.89,US,01-12-2022 23:18:10
279,haimen,23.1935,116.6142,10.94,72,100,5.02,CN,01-12-2022 23:18:11
280,fortuna,40.5982,-124.1573,9.25,90,20,2.57,US,01-12-2022 23:18:11
281,rietavas,55.7194,21.9311,-7.75,95,61,1.66,LT,01-12-2022 23:18:11
282,leningradskiy,69.3833,178.4167,-2.87,83,100,4.0,RU,01-12-2022 23:18:11
283,pevek,69.7008,170.3133,-8.51,95,98,6.02,RU,01-12-2022 23:18:12
284,iqaluit,63.7506,-68.5145,-14.15,84,100,8.05,CA,01-12-2022 23:18:12
285,nata,8.3333,-80.5167,27.93,83,58,4.27,PA,01-12-2022 23:18:12
286,port blair,11.6667,92.75,26.46,83,62,3.08,IN,01-12-2022 23:18:12
287,dwarka,22.2394,68.9678,23.08,55,0,2.92,IN,01-12-2022 23:18:12
288,kortkeros,61.8106,51.5806,-6.0,97,96,1.5,RU,01-12-2022 23:18:12
289,andahuaylas,-13.6556,-73.3872,16.51,47,0,2.09,PE,01-12-2022 23:13:18
290,esperance,-33.8667,121.9,17.78,81,100,5.93,AU,01-12-2022 23:18:13
291,la palma,33.8464,-118.0467,16.57,61,75,4.12,US,01-12-2022 23:18:13
292,yamada,39.4667,141.95,2.73,62,79,3.82,JP,01-12-2022 23:18:13
293,morro bay,35.3658,-120.8499,14.03,92,100,0.45,US,01-12-2022 23:18:13
294,sechura,-5.5569,-80.8222,22.47,70,9,6.74,PE,01-12-2022 23:18:13
295,santiago,-33.4569,-70.6483,24.92,36,0,7.72,CL,01-12-2022 23:18:09
296,wufeng,27.45,104.8333,-1.36,84,98,0.7,CN,01-12-2022 23:18:13
297,avola,36.9113,15.1395,8.16,70,8,1.22,IT,01-12-2022 23:18:13
